2025-08-25 14:25:41.966 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:42.278 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:42.278 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:42.279 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 1500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:42.279 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 1500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:42.284 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:42.284 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 1500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:44.285 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:44.522 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
2025-08-25 14:25:44.578 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:44.579 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:44.579 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:44.579 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:44.580 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:44.581 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 200, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:46.585 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:46.883 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:46.884 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:46.884 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 200, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:46.885 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 200, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:46.890 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 150, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:46.891 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 200, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:46.893 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:46.996 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:46.997 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:47.214 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:47.215 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:47.215 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 150, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:47.216 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 150, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:47.220 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 125, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:47.223 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 150, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:47.224 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:47.325 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:47.326 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:47.543 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:47.543 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:47.544 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 125, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:47.544 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 125, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:47.546 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 100, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:47.547 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 125, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:47.548 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:47.653 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:47.654 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:47.859 | ERROR    | obscam.backend_service:update_settings:199 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 100, 'wb_r': 75, 'wb_b': 120}} | Failed to update camera settings
2025-08-25 14:25:47.860 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:47.861 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:47.861 | WARNING  | obscam.capture_loop:_capture_worker:162 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-25 14:25:47.865 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 75, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:47.968 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-25 14:25:47.968 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:48.262 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:48.262 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:48.262 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 3000.0, 'gain': 75, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:48.262 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 3000.0, 'gain': 75, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:48.263 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 3000.0, 'gain': 25, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:48.263 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 3000.0, 'gain': 75, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:48.278 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 1} | Capture loop thread ended
2025-08-25 14:25:50.268 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:50.563 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:50.563 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
