2025-08-31 22:53:17.133 | INFO     | obscam.core.backend_service:stop_backend:96 | {'module': 'backend_service'} | Stopping backend service
2025-08-31 22:53:17.133 | INFO     | obscam.core.capture_loop:stop:57 | {'module': 'capture_loop'} | Stopping capture loop...
2025-08-31 22:53:17.185 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.410 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.636 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.857 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.959 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.972 | INFO     | obscam.core.capture_loop:_capture_worker:218 | {'module': 'capture_loop', 'final_frame_count': 0} | Capture loop thread ended
2025-08-31 22:53:17.972 | INFO     | obscam.core.capture_loop:stop:70 | {'module': 'capture_loop'} | Capture thread stopped successfully
2025-08-31 22:53:17.972 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-31 22:53:17.983 | INFO     | obscam.storage.settings_manager:stop:54 | {'module': 'settings_manager'} | Settings save worker stopped
2025-08-31 22:53:17.983 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'backend_stopped'} | Camera event
2025-08-31 22:53:17.983 | INFO     | obscam.core.backend_service:shutdown_gracefully:252 | {'module': 'backend_service'} | Backend service graceful shutdown completed
2025-08-31 22:53:17.983 | INFO     | obscam.api.main:start_server:578 | {'module': 'api_main'} | Shutdown complete. Goodbye!
2025-08-31 22:53:18.082 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:18.308 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:18.532 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:18.753 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:18.979 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:19.202 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:19.426 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:19.651 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:19.872 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:20.098 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:20.323 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:20.548 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:20.774 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:20.997 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:21.223 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:21.449 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:21.673 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:21.898 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:22.124 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:22.349 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:22.575 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:22.800 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:23.024 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:23.248 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:23.474 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:23.699 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
